iter	Passed	Remaining
0	41	104221
1	79	98800
2	112	94004
3	150	94079
4	188	94168
5	222	92555
6	260	92615
7	299	93165
8	334	92547
9	372	92836
10	414	93833
11	453	94079
12	494	94547
13	527	93728
14	566	93860
15	605	93946
16	641	93754
17	677	93425
18	709	92708
19	746	92589
20	781	92279
21	816	91941
22	851	91668
23	889	91770
24	922	91307
25	957	91120
26	996	91260
27	1032	91169
28	1071	91265
29	1110	91417
30	1149	91575
31	1188	91627
32	1228	91849
33	1267	91934
34	1304	91898
35	1347	92262
36	1391	92633
37	1441	93410
38	1479	93361
39	1518	93377
40	1579	94744
41	1619	94768
42	1657	94725
43	1692	94485
44	1731	94477
45	1771	94499
46	1818	94894
47	1850	94535
48	1890	94564
49	1929	94542
50	1967	94501
51	2006	94457
52	2052	94748
53	2094	94858
54	2138	95050
55	2178	95054
56	2221	95202
57	2261	95196
58	2302	95247
59	2339	95131
60	2382	95266
61	2424	95349
62	2461	95233
63	2505	95373
64	2543	95288
65	2592	95625
66	2631	95556
67	2669	95470
68	2714	95623
69	2757	95717
70	2795	95622
71	2833	95537
72	2866	95294
73	2908	95361
74	2947	95314
75	2991	95416
76	3038	95618
77	3082	95700
78	3131	95956
79	3177	96131
80	3222	96247
81	3259	96101
82	3300	96116
83	3341	96103
84	3381	96086
85	3423	96084
86	3471	96281
87	3508	96173
88	3552	96242
89	3591	96183
90	3638	96319
91	3678	96271
92	3724	96385
93	3765	96377
94	3807	96393
95	3848	96375
96	3884	96221
97	3925	96221
98	3967	96210
99	4006	96148
100	4041	95993
101	4077	95869
102	4119	95871
103	4160	95840
104	4196	95725
105	4234	95636
106	4276	95643
107	4315	95583
108	4360	95640
109	4398	95558
110	4434	95437
111	4472	95351
112	4513	95334
113	4550	95237
114	4588	95169
115	4632	95204
116	4672	95175
117	4713	95148
118	4751	95062
119	4787	94942
120	4831	94993
121	4868	94894
122	4905	94808
123	4941	94679
124	4985	94728
125	5032	94827
126	5072	94783
127	5111	94731
128	5155	94752
129	5200	94804
130	5241	94795
131	5285	94812
132	5325	94777
133	5360	94654
134	5393	94484
135	5439	94546
136	5483	94574
137	5528	94624
138	5565	94532
139	5602	94449
140	5639	94344
141	5680	94323
142	5720	94294
143	5765	94328
144	5802	94236
145	5843	94214
146	5883	94177
147	5923	94138
148	5962	94082
149	6002	94038
150	6045	94039
151	6080	93931
152	6116	93823
153	6197	94410
